date,Overall,j0ycehe/j0ycehe.github.io,j0ycehe/artoftheweb
2023-06-03,1.0,1.0,0.0
2023-06-04,1.0,1.0,0.0
2023-06-05,1.0,1.0,0.0
2023-06-06,1.0,1.0,0.0
2023-06-07,1.0,1.0,0.0
2023-06-08,1.0,1.0,0.0
2023-06-09,1.0,1.0,0.0
2023-06-10,1.0,1.0,0.0
2023-06-11,2.0,1.0,1.0
2023-06-12,2.0,1.0,1.0
2023-06-13,2.0,1.0,1.0
2023-06-14,2.0,1.0,1.0
2023-06-15,2.0,1.0,1.0
2023-06-16,3.0,1.0,2.0
2023-06-17,3.0,1.0,2.0
2023-06-18,5.0,2.0,3.0
2023-06-19,5.0,2.0,3.0
2023-06-20,5.0,2.0,3.0
2023-06-21,7.0,4.0,3.0
2023-06-23,14.0,4.0,3.0
